date,received_new,entered_awaiting,analyzed_from_awaiting,deferred_from_awaiting,median_queue_days,n_known_duration,resweep
2026-07-12,82,0,0,0,,0,0
2026-07-13,70,0,0,0,,0,0
2026-07-14,88,58,104,173,,0,0
2026-07-15,236,659,141,29,1.0,30,0
2026-07-16,72,768,146,148,,0,1
2026-07-17,71,66,0,0,2.0,31,1
2026-07-18,111,75,333,51,2.0,344,0
2026-07-19,98,0,0,0,2.0,344,0
2026-07-20,449,0,15,0,2.0,359,0
2026-07-21,253,14,180,70,2.0,535,0
2026-07-22,1267,135,174,67,3.0,704,0
2026-07-23,82,92,133,60,3.0,834,0
